index,program_name,category
3141,Biostatics And Health Economics,Molecular and Biological Sciences
3142,Machine Learning/deep Learning,Software and Computer Engineering
3143,Middle Eastern Studies,Cultural and Regional Studies
3144,National Security Studies,Law and International Relations
3145,Economics And Business Economics,Marketing and Economics
3146,Viticulture And Enology,General Sciences
3147,"Classics And Classical Languages, Literatures, And Linguistics",History and Social Sciences
3148,Horticultural Science,General Sciences
3149,Software And Business,Software and Computer Engineering
3150,Computer Engineering Computer Science,Software and Computer Engineering
3151,Licenciatura Administración De Empresas,Marketing and Economics
3152,Music Production,Engineering 
3153,Tax Law,Law and International Relations
3154,"Math, Philosophy And Ethics, Politics, Economics",Mathematics and Finance
3155,Interactive Media And Design,Engineering 
3156,School Of Liberal Arts,History and Social Sciences
3157,Public Policy And Social Research,History and Social Sciences
3158,Sutardja Center For Entrepreneurship And Technology,Marketing and Economics
3159,Software Engineering Immersive,Software and Computer Engineering
3160,Philosophy And Economics,Philosophy and Cognitive Studies
3161,Biology And Chemistry,Molecular and Biological Sciences
3162,Environments And Spatial Design,Engineering 
3163,Chemical Engineering And Industrial Engineering,Engineering 
3164,", Systems Analysis And Design And Machine Learning",Software and Computer Engineering
3165,Machine Learning Automation And Explainability,Software and Computer Engineering
3166,"International Economics, Management And Finance",International Business and Finance
3167,Business Analytics And Big Data,Information and Data Management
3168,Winter 2022,General Sciences
3169,"Business, Music And Computing",Software and Computer Engineering
3170,Social Media,Information and Data Management
3171,Pre,History and Social Sciences
3172,"Physics, Electrical Engineering",Engineering 
3173,Embedded Systems,Software and Computer Engineering
3174,Biology/pharmacology,Molecular and Biological Sciences
3175,"Business, Mathematics, Cs",Mathematics and Finance
3176,Music Technology,Software and Computer Engineering
3177,Public Policy And African And African American Studies,History and Social Sciences
3178,Family Medicine,General Sciences
3179,Cellular And Microbiology,Molecular and Biological Sciences
3180,Yc S19,Psychology and Counseling
3181,State Estimation And Localization,Information and Data Management
3182,"Automotive, Diesel And Hydraulics Technologies",Engineering 
3183,Biomedical Engineering And Clinical Engineering,Engineering 
3184,Engineering Magnet School,Engineering 
3185,"Planetary Science, Applied Physics",General Sciences
3186,Pediatrics Residency Program/chief Resident,General Sciences
3187,Pediatric Critical Care Medicine Fellowship Program,General Sciences
3188,Management And International Business,International Business and Finance
3189,"Marketing/marketing Management, General",Marketing and Economics
3190,Advanced Media Management For A Digital Age,Information and Data Management
3191,Ingegneria Informatica,Information and Data Management
3192,Applied Operations Research,Engineering 
3193,Operations Research And Information Engineering,Information and Data Management
3194,Nanoscale Engineering,Engineering 
3195,Industrial Engineering And Economics,Engineering 
3196,"Mpsi, Mp*",Software and Computer Engineering
3197,Redes Y Comunicaciones,Law and International Relations
3198,Spanish Language And Literature,Cultural and Regional Studies
3199,Kinesiology And Exercise Science,Engineering 
3200,Construction Engineering Management,Engineering 
3201,"Mathematics With Computer Science, Management",Mathematics and Finance
3202,"Economics, Psychology, Accounting",Mathematics and Finance
3203,Psychology And Law,Psychology and Counseling
3204,Telecom And Computer Science Engineering,Software and Computer Engineering
3205,Mathematics And Science,Mathematics and Finance
3206,Classes Preparatoires Aux Grandes Ecoles,General Sciences
3207,Philosophy And Astronomy,Philosophy and Cognitive Studies
3208,The Future Of Farming,Sustainable Energy Engineering
3209,"Computing, Law, Geograph",Law and International Relations
3210,Management And New Technologies,Information and Data Management
3211,Mathematics And Theoretical Physics,Mathematics and Finance
3212,Human Development In Human Development,Psychology and Counseling
3213,"Mechatronics Systems, Instrumentation And Control Systems, Automation, Embedded Systems, Robotics",Engineering 
3214,Policy Management,Information and Data Management
3215,"Ethics, Politics And Economics",Marketing and Economics
3216,Computing And Information Systems,Information and Data Management
3217,Chinese Language,Engineering 
3218,Chinese Languages And Government,Law and International Relations
3219,Id Fellowship,General Sciences
3220,Internal Medicine Residency Program,Software and Computer Engineering
3221,Fine Arts Sculpture,Engineering 
3222,Mathematics And Technology,Mathematics and Finance
3223,Mathematical Modelling And Computing,Mathematics and Finance
3224,Electrical Engineering Embedded Systems,Engineering 
3225,Computer Science Incomplete,Software and Computer Engineering
3226,"Summer Study Abroad, Cultural Studies/critical Theory And Analysis",Cultural and Regional Studies
3227,"Entrepreneurship,entrepreneurial Studies",Marketing and Economics
3228,Information Management And Protection,Information and Data Management
3229,East Asian Studies,Cultural and Regional Studies
3230,East Asian Languages And Cultures,Cultural and Regional Studies
3231,City And Regional Planning,Cultural and Regional Studies
3232,Environmental Policy And Planning,Sustainable Energy Engineering
3233,Accounting And International Business,International Business and Finance
3234,"Neuroscience, Psychology",Psychology and Counseling
3235,"Economics, International Studies",International Business and Finance
3236,Language And Knowledge Engineering,Engineering 
3237,Language Technologies,Software and Computer Engineering
3238,"Entrepreneurship, Business Management",Marketing and Economics
3239,"Business Administration, Entrepreneurship",Marketing and Economics
3240,"Management Information Systems, Certificate In Computer Science",Information and Data Management
3241,"Business, Management Information Systems",Information and Data Management
3242,Business Administration Marketing,Marketing and Economics
3243,Business And Mechanical Engineering,Engineering 
3244,Business And Technology,Marketing and Economics
3245,Art Practice,Cultural and Regional Studies
3246,Games Programming,Software and Computer Engineering
3247,Statistics And Economics,Mathematics and Finance
3248,"Engineering Technology, General",Engineering 
3249,Booth School Of Business,Marketing and Economics
3250,"Investment Management, Portfolio Management",Mathematics and Finance
3251,"Science Mathematics, Computer Science",Software and Computer Engineering
3252,Electrical Engineering/microelectronics,Engineering 
3253,Electronics And Telecommunication Engg,Engineering 
3254,Radio Astronomy And Space Sciences,General Sciences
3255,Polytechnic University Of Valencia,Software and Computer Engineering
3256,Cross,Engineering 
3257,Management Innovation,Marketing and Economics
3258,Business Economics And Sociology,Marketing and Economics
3259,Quantum Computing,Software and Computer Engineering
3260,Civil Engineering Technician,Engineering 
3261,"Electrical Engineering, Computer Science, Management Science",Software and Computer Engineering
3262,"Economics, Political Science, Integrated Marketing Communications Certificate Program",Marketing and Economics
3263,Transporation,Molecular and Biological Sciences
3264,"(kle College Of Pharmacy, Jn Medical College, Belgaum)",Molecular and Biological Sciences
3265,Bioprocess Technology,Software and Computer Engineering
3266,"Startups, Entrepreneurship",Marketing and Economics
3267,Business Expert,International Business and Finance
3268,Econometrics And Operations Research,Mathematics and Finance
3269,China's Economic Development,International Business and Finance
3270,Numerical Fluid Mechanics,Engineering 
3271,Solar Energy,Sustainable Energy Engineering
3272,Energy And Process Technology,Sustainable Energy Engineering
3273,"Computer Engineering, Entrepreneurship",Software and Computer Engineering
3274,Computer Arts,Software and Computer Engineering
3275,Internet Services Technology,Information and Data Management
3276,"Economics, Political Science, Business",Marketing and Economics
